"Дата","Статистика продажу квартир в Україні","дельта"
2023-02-11,211281,-1304
2023-02-12,207701,-3580
2023-02-13,204261,-3440
2023-02-14,211304,7043
2023-02-15,214627,3323
2023-02-16,211293,-3334
2023-02-17,218334,7041
2023-02-18,247719,29385
2023-02-19,269541,21822
2023-02-20,267538,-2003
2023-02-21,209857,-57681
2023-02-22,217705,7848
2023-02-23,215284,-2421
2023-02-24,221029,5745
2023-02-25,223766,2737
2023-02-26,224027,261
2023-02-27,222144,-1883
2023-02-28,220275,-1869
2023-03-01,226828,6553
2023-03-02,228241,1413
2023-03-03,228207,-34
2023-03-04,231334,3127
2023-03-05,233976,2642
2023-03-06,229182,-4794
2023-03-07,219725,-9457
2023-03-08,225452,5727
2023-03-09,234452,9000
2023-03-10,236834,2382
2023-03-11,236600,-234
2023-03-12,231545,-5055
2023-03-13,233406,1861
2023-03-14,226469,-6937
2023-03-15,234374,7905
2023-03-16,234334,-40
2023-03-17,234377,43
2023-03-18,236811,2434
2023-03-19,237692,881
2023-03-20,236099,-1593
2023-03-21,235060,-1039
2023-03-22,242285,7225
2023-03-23,242185,-100
2023-03-24,244561,2376
2023-03-25,251537,6976
2023-03-26,239699,-11838
2023-03-27,247687,7988
2023-03-28,0,-247687
2023-03-29,0,-247687
2023-03-30,0,-247687
2023-03-31,0,-247687
2023-04-01,0,-247687
2023-04-02,0,-247687
2023-04-03,255877,8190
2023-04-04,243677,-12200
2023-04-05,251595,7918
2023-04-06,263669,12074
2023-04-07,256688,-6981
2023-04-08,259657,2969
2023-04-09,249727,-9930
2023-04-10,241194,-8533
2023-04-11,207436,-33758
2023-04-12,213300,5864
2023-04-13,215304,2004
2023-04-14,220674,5370
2023-04-15,227482,6808
2023-04-16,227694,212
2023-04-17,234534,6840
2023-04-18,241048,6514
2023-04-19,240351,-697
2023-04-20,241937,1586
2023-04-21,246068,4131
2023-04-22,245788,-280
2023-04-23,251014,5226
2023-04-24,242238,-8776
2023-04-25,248454,6216
2023-04-26,252216,3762
2023-04-27,252133,-83
2023-04-28,250626,-1507
2023-04-29,255611,4985
2023-04-30,257947,2336
2023-05-01,245693,-12254
2023-05-02,246664,971
2023-05-03,252823,6159
2023-05-04,252370,-453
2023-05-05,260718,8348
2023-05-06,207215,-53503
2023-05-07,206724,-491
2023-05-08,206125,-599
2023-05-09,209705,3580
2023-05-10,216606,6901
2023-05-11,214523,-2083
2023-05-12,215096,573
2023-05-13,212024,-3072
2023-05-14,213115,1091
2023-05-15,197993,-15122
2023-05-16,195549,-2444
2023-05-17,201552,6003
2023-05-18,196233,-5319
2023-05-19,209883,13650
2023-05-20,211215,1332
2023-05-21,211886,671
2023-05-22,204192,-7694
2023-05-23,203507,-685
2023-05-24,209423,5916
2023-05-25,208377,-1046
2023-05-26,210750,2373
2023-05-27,211567,817
2023-05-28,0,-211567
2023-05-29,209575,-1992
2023-05-30,0,-209575
2023-05-31,129843,-79732
2023-06-01,130300,457
2023-06-02,208742,78442
2023-06-03,203621,-5121
2023-06-04,207604,3983
2023-06-05,201792,-5812
2023-06-06,198710,-3082
2023-06-07,0,-198710
2023-06-08,172889,-25821
2023-06-09,177544,4655
2023-06-10,0,-177544
2023-06-11,169232,-8312
2023-06-12,0,-169232
2023-06-13,0,-169232
2023-06-14,0,-169232
2023-06-15,0,-169232
2023-06-16,0,-169232
2023-06-17,0,-169232
2023-06-18,0,-169232
2023-06-19,0,-169232
2023-06-20,0,-169232
2023-06-21,0,-169232
2023-06-22,0,-169232
2023-06-23,0,-169232
2023-06-24,0,-169232
2023-06-25,135323,-33909
2023-06-26,136306,983
2023-06-27,134942,-1364
2023-06-28,136676,1734
2023-06-29,139414,2738
2023-06-30,135969,-3445
2023-07-01,133431,-2538
2023-07-02,130695,-2736
2023-07-03,129984,-711
2023-07-04,128510,-1474
2023-07-05,127894,-616
2023-07-06,140848,12954
2023-07-07,141912,1064
2023-07-08,141495,-417
2023-07-09,140149,-1346
2023-07-10,140165,16
2023-07-11,139660,-505
2023-07-12,141477,1817
2023-07-13,141509,32
2023-07-14,138960,-2549
2023-07-15,141725,2765
2023-07-16,141364,-361
2023-07-17,140483,-881
2023-07-18,141788,1305
2023-07-19,141941,153
2023-07-20,144137,2196
2023-07-21,143934,-203
2023-07-22,144057,123
2023-07-23,142680,-1377
2023-07-24,141044,-1636
2023-07-25,141738,694
2023-07-26,143385,1647
2023-07-27,143705,320
2023-07-28,144014,309
2023-07-29,0,-144014
2023-07-30,97881,-46133
2023-07-31,97409,-472
2023-08-01,93646,-3763
2023-08-02,94575,929
2023-08-03,95603,1028
2023-08-04,96346,743
2023-08-05,96392,46
2023-08-06,95179,-1213
2023-08-07,93431,-1748
2023-08-08,94330,899
2023-08-09,95724,1394
2023-08-10,96543,819
2023-08-11,96328,-215
2023-08-12,96541,213
2023-08-13,95359,-1182
2023-08-14,93481,-1878
2023-08-15,92995,-486
2023-08-16,92995,0
2023-08-17,92268,-727
2023-08-18,92757,489
2023-08-19,96179,3422
2023-08-20,97170,991
2023-08-21,98107,937
2023-08-22,100162,2055
2023-08-23,102300,2138
2023-08-24,105255,2955
2023-08-25,96763,-8492
2023-08-26,97948,1185
2023-08-27,95691,-2257
2023-08-28,95292,-399
2023-08-29,95283,-9
2023-08-30,97214,1931
2023-08-31,97784,570
2023-09-01,97058,-726
2023-09-02,98587,1529
2023-09-03,97712,-875
2023-09-04,97773,61
2023-09-05,99115,1342
2023-09-06,98706,-409
2023-09-07,99824,1118
2023-09-08,100276,452
2023-09-09,100072,-204
2023-09-10,100147,75
2023-09-11,99065,-1082
2023-09-12,100183,1118
2023-09-13,101412,1229
2023-09-14,102457,1045
2023-09-15,102741,284
2023-09-16,102562,-179
2023-09-17,0,-102562
2023-09-18,101536,-1026
2023-09-19,101344,-192
2023-09-20,101634,290
2023-09-21,102963,1329
2023-09-22,102812,-151
2023-09-23,102477,-335
2023-09-24,101082,-1395
2023-09-25,100387,-695
2023-09-26,101191,804
2023-09-27,102320,1129
2023-09-28,101139,-1181
2023-09-29,102459,1320
2023-09-30,102454,-5
2023-10-01,100627,-1827
2023-10-02,99009,-1618
2023-10-03,100559,1550
2023-10-04,102515,1956
2023-10-05,103953,1438
2023-10-06,102207,-1746
2023-10-07,101701,-506
2023-10-08,100749,-952
2023-10-09,99978,-771
2023-10-10,100728,750
2023-10-11,100035,-693
2023-10-12,101756,1721
2023-10-13,103521,1765
2023-10-14,101968,-1553
2023-10-15,102326,358
2023-10-16,101522,-804
2023-10-17,101287,-235
2023-10-18,103386,2099
2023-10-19,92257,-11129
2023-10-20,105076,12819
2023-10-21,105430,354
2023-10-22,104072,-1358
2023-10-23,102855,-1217
2023-10-24,104507,1652
2023-10-25,106049,1542
2023-10-26,107989,1940
2023-10-27,107702,-287
2023-10-28,107173,-529
2023-10-29,105856,-1317
2023-10-30,104448,-1408
2023-10-31,105619,1171
2023-11-01,107688,2069
2023-11-02,108903,1215
2023-11-03,108580,-323
2023-11-04,108644,64
2023-11-05,106602,-2042
2023-11-06,106077,-525
2023-11-07,105977,-100
