"Дата","Втрати особового складу армії рф","дельта"
2022-11-18,83460,350
2022-11-19,83880,420
2022-11-20,84210,330
2022-11-21,84600,390
2022-11-22,85000,400
2022-11-23,85410,410
2022-11-24,85720,310
2022-11-25,86150,430
2022-11-26,86710,560
2022-11-27,87310,600
2022-11-28,87900,590
