"Дата","Середня ціна вітрини яєць","дельта"
2022-08-12,34.49,
2022-08-13,34.49,0
2022-08-14,35.06,0.57
2022-08-15,35.06,0
2022-08-16,34.95,-0.11
2022-08-17,34.95,0
2022-08-18,34.95,0
2022-08-19,35.66,0.70999999999999
2022-08-20,35.95,0.29000000000001
2022-08-21,34.16,-1.79
2022-08-22,35.7,1.54
2022-08-23,35.7,0
2022-08-24,33.66,-2.04
2022-08-25,33.8,0.14
2022-08-26,33.8,0
2022-08-27,36.9,3.1
2022-08-28,35.58,-1.32
2022-08-29,34.2,-1.38
2022-08-30,35.09,0.89
2022-08-31,35.32,0.23
2022-09-01,37.15,1.83
2022-09-02,37.15,0
2022-09-03,36.77,-0.38
2022-09-04,36.77,0
2022-09-05,38.31,1.54
2022-09-06,38.31,0
2022-09-07,38.37,0.059999999999995
2022-09-08,39.58,1.21
2022-09-09,37.99,-1.59
2022-09-10,38.19,0.2
2022-09-11,39.8,1.61
2022-09-12,41.31,1.51
2022-09-13,41.31,0
2022-09-14,41.86,0.55
2022-09-15,41.51,-0.35
