"Дата","Втрати артилерійських систем армії рф","дельта"
2022-12-04,1908,2
2022-12-05,1914,6
2022-12-06,1915,1
2022-12-07,1923,8
2022-12-08,1925,2
2022-12-09,1926,1
2022-12-10,1927,1
2022-12-11,1928,1
2022-12-12,1929,1
2022-12-13,1931,2
2022-12-14,1931,0
2022-12-15,1943,12
2022-12-16,1946,3
2022-12-17,1947,1
2022-12-18,1948,1
2022-12-19,1960,12
